Date,Open,High,Low,Close
24-08-2018,570.5,579,568,575.45
27-08-2018,581,586.8,579.05,581.05
28-08-2018,582,593,578.25,589.35
29-08-2018,591,602.8,585.6,594.05
30-08-2018,593.7,610,590.7,608.3
31-08-2018,609,614.3,600,601.65
03-09-2018,602,610,598.25,600.5
04-09-2018,603,604.6,591.05,593.05
05-09-2018,589.9,597.25,581.25,593.9
06-09-2018,598.7,607.3,594.2,600.45
07-09-2018,602,621,597.3,619
10-09-2018,620,625.9,611.45,613.5
11-09-2018,615.95,617.15,589.1,592.3
12-09-2018,593,606.85,583.35,605.5
14-09-2018,609.1,620,609.1,615.35
17-09-2018,611,624.1,606,615.65
18-09-2018,619,624.25,609.5,612.45
19-09-2018,618,630.55,617.65,620.45
21-09-2018,630,646.7,585,624.55
24-09-2018,618.25,625.75,596.2,606.6
25-09-2018,609.1,609.6,574.5,599.95
26-09-2018,605.65,614.25,598.75,609.05
27-09-2018,611.8,619.75,604.85,609.9
28-09-2018,613.4,613.4,575,580.35
01-10-2018,583,585.45,557.9,583.5
03-10-2018,583.5,594.45,576.85,579.7
04-10-2018,579.7,587.5,570,581.9
05-10-2018,581.9,586,561,569.55
08-10-2018,567.95,569.55,544.55,559.8
09-10-2018,562.95,583,555.4,572.3
10-10-2018,574.9,586.6,574,583.05
11-10-2018,557.9,564.5,549.55,556.25
12-10-2018,560.7,577.4,560,574.95
15-10-2018,579.5,579.5,567.2,571
16-10-2018,571.8,583.95,570,574.1
17-10-2018,579,579.7,552.05,554.65
19-10-2018,550,562.3,545.4,553.6
22-10-2018,557,562,543,544.95
23-10-2018,539.25,549.4,535.3,546.1
24-10-2018,553.4,555,541.8,549.8
25-10-2018,543,550.55,540,546.55
26-10-2018,548.2,561.6,541,551.1
29-10-2018,556.4,575,552.25,573.6
30-10-2018,572,573.4,563.6,565.1
31-10-2018,556.8,557.5,530.1,552.4
01-11-2018,556.95,563.4,554,556.65
02-11-2018,563.7,582,561,573.75
05-11-2018,573,583.9,567.45,578.2
06-11-2018,587,587,570.25,577
07-11-2018,580.15,582,579.1,580.45
09-11-2018,580,580,569,573.3
12-11-2018,573.95,589.8,572,582.9
13-11-2018,582.9,591.75,579.45,589.15
14-11-2018,606,610,585.05,588.95
15-11-2018,590.05,596.4,581.55,588.65
16-11-2018,589.8,590.75,570.1,574.1
19-11-2018,576.2,583.5,574.45,582.2
20-11-2018,577.8,577.8,562,563.5
21-11-2018,563.5,563.5,550.7,552.55
22-11-2018,553,554.7,539,539.95
26-11-2018,543.2,544.95,522.1,531.1
27-11-2018,530.7,530.85,513.25,522.1
28-11-2018,524.4,528.8,519.1,524
29-11-2018,532.8,539,529.4,533.45
30-11-2018,536.4,536.5,525.85,530.25
03-12-2018,541,552.5,536.05,537.2
04-12-2018,533.9,540.45,531.75,538.3
05-12-2018,533.45,533.45,503.1,515.3
06-12-2018,513.95,521.6,501.5,511.05
07-12-2018,511.75,514.85,501,507.9
10-12-2018,500.8,508.9,497.25,502.05
11-12-2018,496.8,504.2,486.9,501.6
12-12-2018,505.8,522.4,505.55,520.4
13-12-2018,527.55,528,508.1,512.25
14-12-2018,510.9,517.9,506.55,513.4
17-12-2018,515.9,524.1,515.9,523.05
18-12-2018,523.9,529,520.1,527
19-12-2018,526,532,525,526.8
20-12-2018,520.8,526.9,520,523.45
21-12-2018,523.8,532,518.4,520.1
24-12-2018,519.9,520.7,512.2,514.4
26-12-2018,509.8,517.9,505.15,513.65
27-12-2018,519,520.5,506.5,507.8
28-12-2018,507.8,516.6,507.8,513.7
31-12-2018,518.5,525.2,516,521.85
01-01-2019,522.05,524.05,513.8,515.55
02-01-2019,506.95,507,491.55,493.85
03-01-2019,493.85,493.85,480.1,481.05
04-01-2019,481.05,492.85,479.3,487.7
07-01-2019,495.3,500.9,484.35,485.95
08-01-2019,486,493.4,484.1,491.35
09-01-2019,488.5,497.15,475.5,479.35
10-01-2019,479.6,483.65,477.5,480.3
11-01-2019,483,486,472.5,474.7
14-01-2019,474.95,474.95,466.6,470.7
15-01-2019,472.2,476.5,469.4,475.15
16-01-2019,477,479.85,473.1,474.45
17-01-2019,475.05,478.3,470,472.5
18-01-2019,474,477.45,468.1,470.5
21-01-2019,472.2,477.4,470.1,471.55
22-01-2019,471,471,455.9,456.8
23-01-2019,457.95,467.5,457,463.8
24-01-2019,465.45,465.5,457.2,460.8
25-01-2019,461,465.7,451.35,452.65
28-01-2019,453,453.8,443.15,445.65
29-01-2019,444.5,452.05,442.1,444.75
30-01-2019,445,471.2,445,467.6
31-01-2019,472.5,478.1,467.55,475.95
01-02-2019,477,481.6,469.5,473.4
04-02-2019,474,478.1,452.3,475.8
05-02-2019,476.25,477.5,459.55,464.75
06-02-2019,465.9,486.9,463.85,484.4
07-02-2019,484,491,478,487.6
08-02-2019,482.25,487,466.8,469.55
11-02-2019,472.65,485.8,460.5,480.4
12-02-2019,479,496.95,476.6,487.95
13-02-2019,490,493,481,483.4
14-02-2019,481.25,485.95,475.5,482.5
15-02-2019,481.15,482.5,463.4,467.45
18-02-2019,468.5,476.75,464.6,465.75
19-02-2019,468,480.55,465.25,471.15
20-02-2019,476.4,493.65,472.8,490.6
21-02-2019,492.6,501.95,490.6,497.9
22-02-2019,496.2,503.7,492.4,501.95
25-02-2019,504,509.5,498.55,504.85
26-02-2019,496,507.85,491.7,504.15
27-02-2019,506,511.95,498.9,505.85
28-02-2019,505.8,510.5,499.4,501.3
01-03-2019,503.9,509.75,502.75,507.15
05-03-2019,509,522.8,505.2,521.5
06-03-2019,526.5,526.5,516.05,518.8
07-03-2019,522,523.25,513.75,520.7
08-03-2019,519,519,506.3,508.05
11-03-2019,509,522.4,508.5,520.8
12-03-2019,523.3,530,519.95,524.15
13-03-2019,524.1,524.15,512.35,513.6
14-03-2019,514.05,522,513.45,517.8
15-03-2019,518.9,520.75,512.5,515.55
18-03-2019,520.9,526,515.6,524.65
19-03-2019,526.6,531.8,520.65,526.25
20-03-2019,525.25,526,511.3,513.55
22-03-2019,515.3,524,515.3,518.15
25-03-2019,513.55,518,507,515.65
26-03-2019,515.7,520.5,514.3,519.35
27-03-2019,519.35,523,513.1,515.9
28-03-2019,514.85,516.5,505.6,507
29-03-2019,511,524.95,509,520.85
01-04-2019,527,543.95,527,534.7
02-04-2019,539.3,539.3,526.3,531.1
03-04-2019,535.25,546.7,533.25,535.4
04-04-2019,537,537,527.1,530.55
05-04-2019,532,550,532,548.35
08-04-2019,552.75,557.45,546.6,549.05
09-04-2019,550.05,553.9,540.5,551.8
10-04-2019,553,558.75,541.8,544.2
11-04-2019,541.6,546.4,534.8,537.15
12-04-2019,538.7,542.9,532.4,533.75
15-04-2019,536.05,554.45,536.05,552
16-04-2019,552.45,556.75,549.4,552.65
18-04-2019,553,555,537.15,542.85
22-04-2019,542.05,545.6,534.45,535.3
23-04-2019,535.6,539.1,521.7,523.8
24-04-2019,527.85,527.85,513.2,525.3
25-04-2019,523.3,529.35,509,510.9
26-04-2019,520,548,516,545
30-04-2019,545.8,559,535.85,556.45
02-05-2019,556,560.35,549.3,554.85
03-05-2019,552.5,555.3,545.85,547.6
